id,headlines,target
50,Your 401(k) Is Sagging. Bitcoin Won’t Fix It.,1.0
51,The crash in crypto prices may be good news for at least one interest group: Gamers,1.0
52,Billionaire Mark Cuban Doesn't Mince Words About Crypto,1.0
53,"Bitcoin Evangelists Musk, Saylor and Winklevoss React to Crypto Crash",1.0
54,Elon Musk faces possible class-action lawsuit over Dogecoin losses,1.0
55,Tether Market Cap Falls as Margin Calls Sweep Across Crypto,1.0
56,"Bitcoin, crypto return to red after rate hike rally wears off",1.0
57,Crypto exchange Huobi Thailand closing down in July after license revoked,1.0
58,"Bad News Has Been 'Devastating' for Crypto, Analyst Says",1.0
59,Bitcoin (BTC) Slides 10% as Recession Fears Hit Riskier Assets,1.0
60,"Huobi closes Thai crypto unit, regulator revokes license",1.0
61,Crypto Market Daily Highlights – June 16 – ETH and SOL Tumble,1.0
62,Elon Musk Faces $258bn Lawsuit for Dogecoin (DOGE) Promoting,1.0
63,"First Mover Asia: When Crypto Rebuilds After This Cold Winter, Firms Like Three Arrows Capital Won't Have a Place; Bitcoin Sinks Toward $20K",1.0
64,"Dogecoin investor sues Elon Musk, Tesla, SpaceX for $258 billion, claiming ‘pyramid scheme’",1.0
65,Cross River Bank Hires Crypto Compliance Chief From Robinhood,1.0
66,Crypto lender Celsius is being investigated by multiple states after transactions freeze,1.0
67,"Crypto lender BlockFi sees ‘increased institutional demand,’ CEO says, as competitor Celsius pauses withdrawals",1.0
68,NFT Fund Starry Night Goes Dark on SuperRare,1.0
69,"Dogecoin investor sues Elon Musk, Tesla and SpaceX for $258 billion",1.0
70,BlockFi Seeks to Quell Fear Amid Fallout from Crypto Hedge Fund Three Arrows,1.0
71,Crypto Industry Shows Cracks as a Second Firm Limits Withdrawals,1.0
72,A major crypto hedge fund is wobbling as $10 billion Three Arrows Capital sees a spate of liquidations,1.0
73,"Market Wrap: Bottom Has Not Been Reached for Crypto, but Capitulation Is Needed",1.0
74,Crypto Selloff Resumes as Post-Fed Mood in Global Markets Sours,1.0
75,Column: Crypto is melting down. Here's who's hurt,1.0
76,From Mixtapes to NFTs: French Montana on Music and Crypto,1.0
77,"Crypto Price Analysis June 16: EGLD, TRX, SOL, THETA, AVAX",1.0
78,Stocks slide to lowest since Dec. 2020 amid renewed recession concerns,1.0
79,Bitso Processed $1B in Crypto Remittances Between Mexico and the US so far in 2022,1.0
80,"Celsius Is Crashing, and Crypto Investors Are Spooked",1.0
81,"As crypto selloff accelerates, how much worse can things get?",1.0
82,Elon Musk sued for $258 billion over alleged Dogecoin pyramid scheme,1.0
83,Bitcoin and crypto remain 'durable assets' despite crash: BlackRock's Rieder,1.0
84,Musk Sees Logic for Twitter as a Crypto Payments Platform,1.0
85,"Bitcoin crash: These three metrics show how bad the carnage is, and what to expect next",1.0
86,How Crypto Lender Celsius Overheated,1.0
87,Binance cofounder: Binance Coin 'is not a security token',1.0
88,Token at the Center of Crypto Storm Becomes Arbitrage Target,1.0
89,US Treasury Secretary Talks Crypto With Bank Chiefs,1.0
90,Is SQ Stock A Buy Or Sell On Cash App Growth Amid Bitcoin's Fall?,1.0
91,Celsius Investors Unlikely to Provide More Funds to Bail Out Crypto Lender,1.0
92,Top 5 Gold Price Linked Cryptocurrencies to Watch in 2022,1.0
93,MARA Stock: Is Marathon Digital Holdings A Buy As Crypto Crashes And May Bitcoin Production Comes In 47% Below Expectations?,1.0
94,Analysis-U.S. crypto-lending firms likely to see greater regulation after Celsius troubles,1.0
95,"Bitcoin and ETH Target Fresh Lows, SOL Faces Uphill Task",1.0
96,Crypto bull Mike Novogratz warns the economy is going to collapse and the Fed is hiking rates as a bubble pops,1.0
97,Russia's Gazpromneft and BitRiver Partner to Develop Crypto Mining Operations,1.0
98,"Bitcoin price dip ‘absolutely’ a buying opportunity, Michael Saylor says",1.0
99,Tokens de dogecoin y solana lideran las ganancias entre las principales criptomonedas,1.0
100,Cryptocurrency market turmoil underscores 'urgent need' for regulation - U.S. Treasury,1.0
101,"Another ‘stable’ currency peg is falling, but this time it looks like it might vindicate crypto bulls",1.0
102,Bitcoin Cash leads way as largest cryptocurrencies decrease,1.0
103,Traders betting against crypto stocks have raked in nearly $4 billion this year,1.0
104,"‘I missed the bus on Bitcoin, but now feel like my time has come. I have another 25 years of a boring 9-to-5 job.’ Is the crypto crash an opportunity to buy low?",1.0
105,Crypto volatility knocks more stablecoins off their peg,1.0
106,Binance boss CZ says the crypto downturn could last 4 years—and he plans to go on a spending spree,1.0
107,What Does The Bitcoin Crash Mean For Crypto Gaming?,1.0
108,Bitcoin Price on Track to Fall for 10th Consecutive Day,1.0
109,"Bitcoin Price Prediction Bears Eye Sub-$19,000 as Sell-Off Resumes",1.0
110,Wall Street vet and Bitcoin bull Mike Novogratz says the economy is going to ‘collapse’ and we’re heading into a ‘really fast recession’,1.0
111,Cryptocurrency exchange Binance: 2022 volumes so far similar to 2021's $34 trillion,1.0
112,"Tron (TRX) Spikes in Value by 19% After Crypto Finance Support, Dmm Bitcoin Listing and Solid Weekly Performance",1.0
113,Bitcoin Is About The Worst Thing You Could Invest In,1.0
114,DeFi Protocol Inverse Finance Exploited for $1.2M,1.0
115,Morning Crypto Briefing: Bitcoin Price Back In $21K Area As Cryptos Fade Post-Fed Gains,1.0
116,College hackers in Kenya are converting stolen money to bitcoin,1.0
117,Crypto Scams: Want to Avoid Them? Here Are Five Red Flags.,1.0
118,"Dogecoin, Solana Tokens Lead Gains Among Major Cryptocurrencies",1.0
119,"Bitcoin, Solana, Avalanche Reverse Gains. They’re Following Stocks After the Fed.",1.0
120,Is There a Good Time To Invest in Cryptocurrencies Amid Current Turmoil?,1.0
121,Bitcoin Tries to Stop the Bleeding Despite Crypto Scandals,1.0
122,"Crypto crash: What contagious risks could Celsius, Three Arrows pose? Here’s what to watch",1.0
123,"Bitcoin, Ethereum, TRX recover as Fed bumps rates by 75 bpt",1.0
124,Final Capitulation Fears Mount as Miners Send Record Amounts of Bitcoin to Exchanges,1.0
125,Crypto Markets Sustain Rally After Monster Rate Hike Cryptocurrencies Climbed in Line with Stocks,1.0
126,Crypto Market Daily Highlights – June 15 – BTC and ETH Find Support,1.0
127,"If Your Crypto's in This Company, You May be Out of Luck",1.0
128,"First Mover Asia: Celsius Risks Triggered Crypto Crash, Says Huobi Group CFO; Bitcoin Wobbles but Doesn't Break Post-Rate Hike",1.0
129,"Bitcoin Price Falls Toward $20,000 as Cryptocurrency Rout Deepens",1.0
130,Bitcoin (BTC) Faces a Ninth Daily Loss as Investors React to the Fed,1.0
131,"Market Wrap: Fed Hikes Rates at Highest Level Since 1994, Bitcoin Rallies After",1.0
132,Crypto Lending Platforms 'Should Be Regulated': Former CFTC Chairman,1.0
133,Bitcoin Mining Profitability Dips Majorly Amid BTC Price Pullback,1.0
134,Crypto-SPAC Deals Stuck in SEC Limbo as Token Demand Plunges,1.0
135,Bitcoin stays above $21K after Fed hikes rates,1.0
136,El Salvador Faces Turmoil as Bitcoin Value Plunges,1.0
137,"Ethereum maximalist Mark Cuban says the crypto crash reminds him of Warren Buffett’s advice: ‘When the tide goes out, you get to see who is swimming naked’",1.0
138,Stocks snap 5-day losing streak after Fed raises rates by most since 1994,1.0
139,Looks Like Bitcoin (BTC-USD) Could Be Reaching “Maximum Pain”,1.0
140,"La Reserva Federal anuncia la mayor subida de tipos de interés en 28 años, mientras bitcoin cae",1.0
141,"Binance, Kraken, FTX Go on Hiring Spree as Rest of Crypto Crumbles",1.0
142,Bitcoin Picture Review: Will It Go to Zero or $100K+?,1.0
143,The Fed is forcing markets to 'flush' crypto speculators: Strategist,1.0
144,"Crypto Price Analysis June 15: ATOM, MKR, APE, CAKE, BCH",1.0
145,"As crypto crash deepens, here are 4 signs the worst could be yet to come",1.0
146,Fed Announces Biggest Interest Rate Hike in 28 Years; Bitcoin Gains,1.0
147,A Manhattan Landlord Listed His Office Building in ETH as an NFT. Then Its Price Dropped $12M,1.0
148,Bill Gates Says NFTs and Crypto Are ‘100%’ Based on Greater Fool Theory,1.0
149,"Crypto Winter Is Here. The Weak Will Die, and the Strong Will Eat Their Bones",1.0
150,Elon Musk Is Furious,0.0
151,Top economist Mohamed El-Erian says the everything bubble is over. It’s a paradigm shift away from a ‘silly’ artificial economic world,0.0
152,"The guy who accidentally charged 69 cents for gas is trying to repay $20,000 to the station that fired him",0.0
153,"How Much Does a $200,000 Annuity Pay Per Month?",0.0
154,Fed Rate Hikes Will End Sooner Than You Think. What That Means for the Stock Market.,0.0
155,"History says the next bull market is just months away, and it could carry the S&P 500 to the 6,000 level, according to Bank of America",0.0
156,"‘I feel bad that I’ll be taking most of his income’: I make twice what my boyfriend does. He pays me $300 in rent, but I want him to pay $800. Is that fair?",0.0
157,How Much Interest Can You Earn on $1 Million?,0.0
158,5 REITs With Massive Dividend Yields,0.0
159,"Too scared to check your 401(k) as Dow tumbles below 30,000? Too worried to peek at your brokerage account? Here’s when you should look — and when you should go for a walk instead.",0.0
160,Buying AMD and Nvidia in a Bear Market: What to Know Now,0.0
161,Do Costco's $4.99 Chickens Come With Too Heavy a Price?,0.0
162,"Yes, there are savings accounts paying 6%. But here’s what you need to know before you opt in",0.0
163,Leuthold Worst Case Has S&P 500 Overshooting Its Historic Floor,0.0
164,Is It Time To Sell Exxon Stock After The White House Takes Aim At Big Oil?,0.0
165,Wall Street is officially in a bear market: What strategists say investors should do,0.0
166,Dow Jones Plunges As Bears Attack; Tesla Stock Dives Amid This Elon Musk Move; Apple Crumbles,0.0
167,GE Stock A Buy? General Electric Split On Track Amid Several Big Headwinds,0.0
168,2 “Strong Buy” Dividend Stocks With 7% Dividend Yield,0.0
169,A housing market reset has become 'a bit more than that': Morning Brief,0.0
170,Where to Invest Your Cash Now—Even if You Might Need It Soon,0.0
171,SpaceX employees call Elon Musk a ‘distraction and embarrassment’ in letter to executives: report,0.0
172,Bonds haven’t protected you from the bear market in stocks. But this one asset class could have,0.0
173,Congo Miner Threatens to Seize Giant Cobalt Project From Chinese Partner,0.0
174,Stock Market Holidays 2022: Is The Stock Market Closed For Juneteenth?,0.0
175,Why beaten-down tech stocks could lead the next rally,0.0
176,Four value-stock picks from a fund manager who steers clear of the energy sector,0.0
177,"SpaceX Fires Employees Involved in Letter Critical of Elon Musk, Company",0.0
178,Credit Suisse warns of ‘new world order’ in markets,0.0
179,Rates on U.S. 30-year mortgages see biggest one-week increase since 1987,0.0
180,Is Google A Buy Or Sell As Stock Split Approaches?,0.0
181,Stock Market Forecast For Next Six Months Holds Big Risks For Dow Jones — But Hope Too,0.0
182,Citi’s $900 Million Revlon Gaffe Risks Getting Even More Painful,0.0
183,Gas prices: U.S. pain at the pump no match for Europe,0.0
184,Is Intel Stock A Buy Or Sell Before Chipmaker's Second-Quarter Report?,0.0
185,Is Micron Stock A Buy Ahead Of Chipmaker's Earnings Report?,0.0
186,Merck Shows Takeover Interest In Seagen: WSJ,0.0
187,Oil Tumbles Below $110 as Fed Signals More Hawkishness Ahead,0.0
188,U.S. Oil Companies Begin To Bid On Federal Land Leases As Pressure On Biden Grows,0.0
189,"In Prevalence of Selling, This Is a Market Rout Without Equal",0.0
190,"Electric vehicle prices and range, not cost of gas, top concerns for prospective buyers",0.0
191,Citigroup Stock Is the Cheapest of the Big Banks. It’s Ready to Take Off.,0.0
192,"Housing Just Hit a Wall. What’s Next for Prices, Brokers, and Builder Stocks.",0.0
193,Tesla is leaving the market for low-end electric cars to traditional automakers,0.0
194,Way Behind on Retirement Savings? Do This,0.0
195,"Boeing hires 'hundreds' of engineers in push to certify 777X, 737 Maxes",0.0
196,These Are The 5 Best EV Stocks To Buy And Watch Now,0.0
197,"For All Their Worries, Investors Are Piling Into US Stocks",0.0
198,"'Somebody forgot to tell the boat industry' about inflation, the bear market, and recession fears",0.0
199,Here's Why Needham Sees Apple's Brand Value Worth At $1T,0.0
200,Insiders Pull the Trigger on These 2 Controversial Stocks; What They Know That We Don’t?,0.0
201,The Stock Market Had a Very Bad Week. Why It Gets Worse Before It Gets Better.,0.0
202,"Mortgage rates hit 6%. Here’s one way to pay about 4%, but there’s a catch",0.0
203,Cyberattack hits as 'Russian Davos' adjusts to new reality,0.0
204,"In Tough Times, Move in on These 3 High-Yield REITs",0.0
205,"Oil slumps 6% to four-week low on recession worries, strong dollar",0.0
206,"Alibaba, NIO stocks soar after report Ant Group OK'd to set up financial holding company",0.0
207,Both Ford and GM Halted Their Dividends During the Pandemic. Why Only One Has Brought It Back.,0.0
208,This week in Bidenomics: Silence on the stock selloff,0.0
209,Oppenheimer Pounds the Table on Nvidia Stock,0.0
210,"Housing is now ‘within a whisper’ of the record low affordability levels from 2006. But in these 3 markets, housing is actually more affordable than its historical average",0.0
211,"As Tech Gets Hammered, This Stock Looks Attractive—Even in a Recession",0.0
212,"Why is China's inflation rate low compared to the US, Europe and Britain?",0.0
213,Retail Traders Who Drove Meme Frenzy Bail Out in Bear Market,0.0
214,The Days of Big Pharma Are Over. What the Era of Big Biotech Means for Investors.,0.0
215,Oil prices end lower to break a string of weekly gains as demand worries linger,0.0
216,Dow Jones Gains; WWE Stock Slammed As Vince McMahon Steps Down; Moderna Gets Covid Vaccine Boost,0.0
217,"This asset class with an 8% yield can withstand a great deal more pain, fund manager says",0.0
218,"Gas Price Relief In Sight As Crude Oil Tumbles On Recession Fears, Pump Prices Fall Below $5 A Gallon",0.0
219,"ChargePoint Is a Buy, But Blink Has Challenges, Analyst Says",0.0
220,EU fears of being held to ransom by Russia over gas become a reality,0.0
221,AMC shareholders reject executive compensation plan,0.0
222,Bond Market Losses Just Beginning as Fed Sets Path to 4% Yields,0.0
223,Alibaba Stock Rises on Report Ant Group Could Be Given Permission to Set Up Bank Holding Company,0.0
224,AT&T stock heads for longest losing streak since 2020,0.0
225,Revlon Stock Soars on Report of Potential Acquisition Out of Bankruptcy,0.0
226,Russia again cuts natural gas exports to European countries,0.0
227,"Fed to Lose Money Next Year as It Raises Rates, Dudley Says",0.0
228,Citi Turns Bullish On Boeing - Read Why,0.0
229,Plug Power To Build Large-Scale Hydrogen Plant In Europe; Is PLUG Stock A Buy?,0.0
230,AMC shareholders vote against CEO Adam Aron's $19 million pay package,0.0
231,5 costly secrets financial advisers may keep from you (but you definitely should know about),0.0
232,Here's Where Investors Took Cover in Miserable Week for Tech Stocks,0.0
233,Read Stephens' Analysts Take On Roku - Walmart Partnership,0.0
234,‘The Profit’ Star Marcus Lemonis Scooped Up Camping World Stock,0.0
235,5 Best Chinese Stocks: Two Tesla Rivals Setting Up,0.0
236,Revlon’s Surge Revives Memories of Hertz’s Wild 2020 Summer,0.0
237,Gas Prices: 8 Steps Biden Can Take to Try to Lower Them,0.0
238,Is Novavax Stock A Buy Or Sell With Its Covid Shot Now In FDA Limbo?,0.0
239,"EV Charging stocks surge after B. Riley analyst starts coverage, led by ChargePoint",0.0
240,Dow Jones Futures: What To Do As Bear Market Intensifies; Tesla Rival Leads 5 Key Stocks,0.0
241,Fed Dissenter George Says Jumbo Rate Hike Adds to Policy Uncertainty,0.0
242,"Venezuelan oil exports to Europe set to resume after two years  -document, sources",0.0
243,Oil Bears Burst Back Onto The Scene,0.0
244,These 16 stocks in the S&P 500 crumpled at least 9% a day after the Fed raised rates,0.0
245,"Stock Market Closes Higher, But Dow Jones Inches Down; Exxon And Chevron Lead Oil Stocks Lower",0.0
246,How Germany Took Over Russia’s Vast Gas-Trading Empire,0.0
247,Small-Cap Stocks Have Gotten Crushed. Their Rebound Could Be Swift.,0.0
248,Tesla Stock Vs. BYD Stock: TSLA Struggles As Hottest EV Stock Races Toward Buy Point,0.0
249,Schwab Paid $187 Million to Settle a Hidden Fee Charge. Do You Have Hidden Fees in Your Portfolio?,0.0
250,Ray Dalio’s Bridgewater Builds $5.7 Billion Bet Against European Stocks,0.0
251,"Kroger Stock Dips on Earnings Report, Must Hold This Key Level",0.0
252,‘We regret to inform you that we all quit’: Two GameStop stores have had four mass resignations in the past year,0.0
253,"Apple’s Brand Is Worth $1 Trillion, Analyst Says. Meta’s Is Not.",0.0
254,US STOCKS-Wall Street slammed as recession worries mount,0.0
255,UPDATE 3-Sterling rises to one-week high on expectations of aggressive BoE,0.0
256,TREASURIES-Yields reverse some post-Fed rally as European central banks hike rates,0.0
257,Oil Stocks Slammed by Crude Price Drop; Solar Stocks Shine,0.0
258,UPDATE 1-Russia says Europe faces $400 bln in costs in higher energy prices,0.0
259,London Stock Exchange pours cold water on merging listing segments,0.0
260,Central banks find their mettle in the fight against inflation,0.0
261,FOREX-Swiss franc set for best day vs euro in seven years after SNB hike,0.0
262,"Warner Bros. Discovery Stock Falls to New Low Amid Market Turmoil, Skeptical Analyst Report",0.0
263,WRAPUP 1-Europe's central banks jack up interest rates to fight inflation surge,0.0
264,Industry sees challenges for Marcellus in boosting LNG production,0.0
265,UPDATE 1-Facebook owner Meta makes antitrust commitments over online advertising,0.0
266,BMO Capital & Credit Suisse Slash United States Steel Price Target - Read Why,0.0
267,Number of Underwater Russell 3000 Stocks Surges to Record,0.0
268,UK commits to overhaul of consumer credit legislation,0.0
269,Bank of England raises interest rates by 0.25 percentage points,0.0
270,Big Macs still sold in Russia despite McDonald's exit,0.0
271,USD/JPY Weekly Price Forecast – US Dollar Continues to Power Higher,0.0
272,USDC Issuer Circle Announces Euro-Backed Stablecoin ￼ Euro Coin Will be Available to Mint and Redeem on June 30,0.0
273,Activision Blizzard says review found no evidence senior execs ignored or downplayed gender harassment,0.0
274,Sovereign’s Capital aims for $150M fund. Here's where the money will go.,0.0
275,New Study Finds FairTrade Certification Enhances Farmer Resilience and Sustainability but Major Threats Like Climate Change and COVID-19 Are Jeopardizing Decent Livelihoods,0.0
276,New Report from Learn In and HRD Connect Reveals Opportunity to Improve Upskilling Practices to Help Companies Grow in Competitive Labor Markets,0.0
277,Travel Stocks Hard Hit as Recession Fears Take Hold,0.0
278,Activision Blizzard's Independent Board Gives Its Officers Clean Chit Against Denial Of Harassment Claims,0.0
279,Heard on the Street: Central Bankers Could Derail Oil-and-Gas Rally,0.0
280,USDC Issuer Circle to Introduce Euro-Backed Stablecoin in US,0.0
281,"Covid Regulations, China's Crackdown On Alibaba And Others Are Taking Toll On Its Tech Workers - Read How",0.0
282,MakerDAO Votes to Freeze Aave’s Direct Borrowing of DAI MakerDAO Errs on Side of Caution as Credit Risks Mount,0.0
283,E*TRADE vs. Fidelity Investments,0.0
284,Animoca Brands Acquires Most of Educational Tech Company TinyTap for $38.9M,0.0
285,E-mini S&P 500 Index (ES) Futures Technical Analysis – Falling Deeper into Bear Market Territory,0.0
286,Ad Agency Mekanism Acquired by Canadian Holding Company,0.0
287,Finblox Imposes $1.5K Monthly Withdrawal Limit Amid Three Arrows Capital Uncertainty,0.0
288,Heroes Work Here: Guardian Angel Meter Reader Saves Baby Leo,0.0
289,General Catalyst Leads $40 Million Investment in Elevate K-12,0.0
290,Revlon Files for Bankruptcy Protection,0.0
291,U.S. Stocks Traded Sharply Lower as Recession Fears Take Hold,0.0
292,KeyBank Recognized as One of the 50 Most Community-Minded Companies in the United States for Ninth Consecutive Year,0.0
293,"Amid real estate tech industry layoffs, HomeLight raises $60M and acquires lending startup Accept.inc",0.0
294,Able.ai exits stealth with $20M to help big lenders speed up making high-value loans,0.0
295,"Asia Will Feel the Fed’s Wrath, Too",0.0
296,"Dollar’s Bullish Reign Won’t Stop Until Fed Pivots, Global Growth Jitters Ease",0.0
297,Webio secures $4m to scale conversational AI in the collections and payments industry,0.0
298,Pound Slips After Bank of England Rate Rise,0.0
299,"Scott Puritz, Managing Director of Wealth Management Firm Rebalance,
Presented Investing 101 Webinar to Tufts Alumni Earlier this Month",0.0
300,UPDATE 2-Bausch Health suspends plans for Solta IPO,0.0
301,GM and Ford in No Rush to Press the Panic Button,0.0
302,"Chief Executives for Corporate Purpose, Tata Consultancy Services, and PYXERA Global: Innovating to Solve Local and Global Challenges with Digital Empowers",0.0
303,Revlon Has Declared Bankruptcy. More Defaults Could Be on the Way.,0.0
304,Gold Weekly Price Forecast – Gold Markets Bounce Off of a Major Trend Line,0.0
305,"THG shares fall after Belerion, Candy Venture pull takeover interests",0.0
306,Asian Stocks Mixed Over Fears of an Economic Downturn,0.0
307,Spotify Slows Down On Hiring Amid Macro Uncertainties,0.0
308,The Petrochemical Industry Is Set To Explode,0.0
309,Mother of Patriot Front member arrested in Idaho says she’s 'been warning him for years' that it was trouble,0.0
310,Michigan Man Convicted Of Violent Triple Homicide Confronts Victims' Family At Sentencing,0.0
311,Fox analyst and ex-NASCAR driver Clint Bowyer involved in deadly car crash with pedestrian,0.0
312,‘Late Show With Stephen Colbert’ Staffers Including Robert Smigel Arrested at U.S. Capitol,0.0
313,"A tech worker bought one of San Francisco's Painted Ladies and planned to renovate it, but life got in the way. Now, she's selling it for $3.55 million — and it needs a lot of work.",0.0
314,TikTok reacts to rich couple’s pros and cons of traveling via private jet: ‘Thanks for reminding us how poor we are’,0.0
315,North Korea battles outbreak of unidentified disease,0.0
316,GOP Sen. John Cornyn was loudly booed at Texas Republican convention amid his push for bipartisan gun legislation,0.0
317,One woman shares why abortion at 21 weeks was the best choice for her family: 'No one can ever imagine until they live through it',0.0
318,"Georgia man gets four life sentences plus 110 years for raping, molesting Macon girl",0.0
319,Fighting the current: Young Americans reject the banks they're born into,0.0
320,"Don Lemon clashes with panelist over Trump’s knowledge of wrongdoing on Jan, 6",0.0
321,Drunk driver who maimed South Dade principal freed from prison. She’s in trouble again,0.0
322,Paul Ryan called Mike Pence ahead of Jan. 6 to tell him he did not have authority to overturn Donald Trump's election loss,0.0
323,Israel praises Argentina grounding plane with Iranian crew,0.0
324,A fight between a recruiter and job candidate over salary shows a growing divide in the war for talent,0.0
325,Two White Men Arrested After Viral Vids Capture Terrifying Attack on Black Teen,0.0
326,"McDonald's proposal goes horribly wrong, sends internet into stitches",0.0
327,"Thailand is fighting to save a lone tree on a small, uninhabited island from overtourism",0.0
328,Trump boasts he's been impeached twice and screams 'nothing matters!' amid ongoing January 6 hearings,0.0
329,Philippine militants accused of beheading tourists surrender,0.0
330,Matthew McConaughey and Wife Camila Share Video of Themselves Campaigning for Gun Safety at White House,0.0
331,Multiple people arrested on prostitution charges during raids of two Brookhaven massage parlors,0.0
332,Mystery of cars at bottom of 200-foot cliff in New Mexico comes to abrupt conclusion,0.0
333,Elon Musk's Boring Company will build a 34-mile tunnel network underneath Las Vegas,0.0
334,Pence advisor says if VP had obeyed Trump's demand to toss valid electoral votes it would have been the 'first constitutional crisis since the founding of the Republic',0.0
335,Wife says she tried to warn police before deadly shooting,0.0
336,An Expert Explains What's in Sperm and How It's Digested (Because We're All Curious),0.0
337,20 shipping containers' worth of gold and television sets were stolen in the 'biggest heist' ever for a Mexico port,0.0
338,Trump defends mob that stormed U.S. Capitol,0.0
339,You think $5 gas is bad? Check out the most expensive gas prices in these European countries,0.0
340,Human trash discovered on Mars — but NASA’s explanation leaves unanswered questions,0.0
341,Poll: Most Americans say these 2 gun measures could stop mass shootings. The Senate isn't considering them.,0.0
342,"'He never barked. He never saw it.' Alligator attacks, eats dog in Greenway Trail",0.0
343,Gov. Ron DeSantis clashes with Biden White House over decision that Florida won't order vaccines for children under 5,0.0
344,The growing list of people Donald Trump hired who eventually soured on him,0.0
345,‘We Thought They Were Dead. They Never Made It Back’: Two American Fighters Captured by Russia in Ukraine,0.0
346,Morgan Stanley's chief strategist called the last 3 crashes — and he says the Fed's latest rate hike just raised the odds of recession,0.0
347,Liberal Justice Sotomayor says U.S. Supreme Court 'mistakes' can be fixed,0.0
348,Diary of a Wimpy Kid Actor Who Pleaded Guilty to Murdering Mom Allegedly Plotted to Kill Justin Trudeau,0.0
349,"22 Facts I Learned This Week That Are So Interesting, I Won't Be Forgetting About Them Any Time Soon",0.0
350,McDonald's New Menu Item Looks Like a McFailure,0.0
